hobbit,tolkien,1
Road Town,Freddi,100
Makassar,Pattin,101
Geneva,Nicoline,102
Port of Spain,Dearborn,103
Vientiane,Tayib,104
Iquique,Helfand,105
Bloemfontein,Lanita,106
Maseru,Nea,107
Atlanta,Podvin,108
Yakutsk,Tomasina,109
Bridgetown,Docilla,110
Guatemala City,Elsinore,111
Maracaibo,Pauly,112
Alexandria,Nerita,113
Kaesong,Hertzfeld,114
Invercargill,Nerita,115
Santa Cruz de Tenerife,Torray,116
Canberra,Verger,117
Kunming,Stacy,118
Hat Yai,Levey,119
S?o Tomé,Daegal,120
Bloemfontein,Robertson,121
Rio de Janeiro,Longfellow,122
Barranquilla,Colp,123
Chicago,Carleen,124
Pekanbaru,Craggie,125
Campinas,Morehouse,126
Antwerp,Terencio,127
Charlotte,Merriott,128
Cairo,Sawtelle,129
Makati City,Ambrosia,130
Dodoma,Turne,131
Birmingham,Seagraves,132
Ottawa,Pearse,133
Pattaya,Yorick,134
Brazzaville,Ioab,135
Geneva,Euridice,136
Antwerp,Baudin,137
Porto-Novo,Wareing,138
Wuhan,Mandler,139
Munich,Wenoa,140
Thimphu,Sprage,141
Kandy,Stoller,142
Hangzhou,Bobbee,143
Pattaya,Georgy,144
Frankfurt,Vanni,145
Wellington,Barney,146
Cannes,Schroth,147
Angra do Heroísmo,Melan,148
Las Vegas,Ferrell,149
Munich,Kinnard,150
Thessaloniki,Yam,151
Papeete,Cleavland,152
Jamestown,Grobe,153
Belém,Radu,154
Calama,Kirstin,155
Kinshasa,Smitt,156
Khartoum,Rodmann,157
Bangkok,Cohdwell,158
San Fernando,Ovid,159
Simferopol,Gilmour,160
Cologne,Lucienne,161
Shillong,Monaco,162
Melbourne,Nunci,163
S?o Tomé,Lay,164
Baku,Ajay,165
Hanover,Tengdin,166
Luxor,Fry,167
Vatican City,Bigner,168
Tagbilaran,Ogren,169
Semarang,Torray,170
Chihuahua,Wilona,171
Dodoma,Bluh,172
Vaduz,Idelia,173
Mersin,Erb,174
Bulawayo,Sherrie,175
Jaipur,Llovera,176
Copenhagen,Naashom,177
Ambon,Dom,178
Mecca,Neils,179
Honiara,Tayib,180
Guadalajara,Secrest,181
Madrid,Blake,182
Belfast,Plato,183
Samara,Eben,184
Las Palmas de Gran Canaria,Publia,185
Chaguanas,Cottle,186
Columbus,Granoff,187
Tunis,Wattenberg,188
Bissau,Linskey,189
Chittagong,McAdams,190
Ankara,Craggie,191
Sofia,Lindemann,192
Naypyidaw,Deny,193
Marrakech,Rooney,194
Asunción,Katrine,195
Surabaya,Hylan,196
Kawasaki,Mehalek,197
Yellowknife,Karna,198
Norilsk,Baylor,199